# b7df4777-ed8a-4272-bb9a-ded3c83173a9
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.9558238; 25.6893758; 1.6007597; 0.1453610; 7.6095424; 1.4536732
0.1997686; -39.1553851; 25.6804396; 1.6305970; 0.1532997; 7.6476095; 0.9036539
0.3995372; -39.3545853; 25.6654805; 1.6607488; 0.1485828; 7.6711782; 1.1250740
0.5993059; -39.5532562; 25.6446340; 1.6896940; 0.1412600; 7.7004210; 1.4914999
0.7990745; -39.7512529; 25.6181360; 1.7180091; 0.1421510; 7.7390176; 1.3526294
0.9988431; -39.9484304; 25.5861031; 1.7453260; 0.1314280; 7.7738549; 1.9226182
1.1986117; -40.1446934; 25.5488724; 1.7710206; 0.1257817; 7.8231054; 2.1655094
1.3983804; -40.3399630; 25.5067375; 1.7953443; 0.1177733; 7.8782091; 2.5518043
1.5981490; -40.5341862; 25.4600137; 1.8181819; 0.1108671; 7.9426519; 2.2883477
1.7979176; -40.7273280; 25.4090015; 1.8396153; 0.1037273; 8.0000000; 0.0000000
1.9976862; -40.9193714; 25.3539969; 1.8596470; 0.0968266; 8.0000000; 0.0000000
2.1974548; -41.1103153; 25.2952879; 1.8783039; 0.0899650; 8.0000000; 0.0000000
2.3972235; -41.3001736; 25.2331563; 1.8955985; 0.0831857; 8.0000000; 0.0000000
2.5969921; -41.4889735; 25.1678780; 1.9115445; 0.0764623; 8.0000000; 0.0000000
2.7967607; -41.6767545; 25.0997231; 1.9261536; 0.0698008; 8.0000000; 0.0000000
2.9965293; -41.8635671; 25.0289561; 1.9394381; 0.0632015; 8.0000000; 0.0000000
3.1962980; -42.0494715; 24.9558356; 1.9514118; 0.0566760; 8.0000000; 0.0000000
3.3960666; -42.2345361; 24.8806145; 1.9620896; 0.0502277; 8.0000000; 0.0000000
3.5958352; -42.4188366; 24.8035397; 1.9714879; 0.0438672; 8.0000000; 0.0000000
3.7956038; -42.6024542; 24.7248514; 1.9796383; 0.0377323; 8.0000000; 0.0000000
3.9953724; -42.7854737; 24.6447813; 1.9865624; 0.0315899; 8.0000000; 0.0000000
4.1951411; -42.9679845; 24.5635582; 1.9922527; 0.0253805; 8.0000000; 0.0000000
4.3949097; -43.1500807; 24.4814093; 1.9967265; 0.0194093; 8.0000000; 0.0000000
4.5946783; -43.3318571; 24.3985551; 2.0000051; 0.0134185; 8.0000000; 0.0000000
4.7944469; -43.5134093; 24.3152106; 2.0021415; 0.0079584; 8.0000000; 0.0000000
4.9942156; -43.6948347; 24.2315907; 2.0029669; 0.0003538; 8.0000000; 0.0000000
5.1939842; -43.8762288; 24.1479028; 2.0032005; 0.0020353; 8.0000000; 0.0000000
5.3937528; -44.0575605; 24.0640795; 2.0048049; 0.0140205; 8.0000000; 0.0000000
5.5935214; -44.2386600; 23.9797563; 2.0086757; 0.0247351; 8.0000000; -5.5890165
5.7932900; -44.4193396; 23.8945372; 2.0147234; 0.0358125; 7.8591971; -7.3779563
5.9930587; -44.5994048; 23.8080283; 2.0229756; 0.0468088; 7.6693684; -6.8801899
6.1928273; -44.7786528; 23.7198393; 2.0334310; 0.0578718; 7.4880117; -6.4244370
6.3925959; -44.9568686; 23.6295835; 2.0461086; 0.0690594; 7.3146099; -6.0079205
6.5923645; -45.1338217; 23.5368775; 2.0610310; 0.0803489; 7.1486453; -5.6174730
6.7921332; -45.3092626; 23.4413420; 2.0782375; 0.0919287; 6.9899027; -5.2739909
6.9919018; -45.4829198; 23.3426027; 2.0977380; 0.1033185; 6.8375130; -4.9394463
7.1916704; -45.6544999; 23.2402981; 2.1195670; 0.1152449; 6.6916434; -4.6139841
7.3914390; -45.8236771; 23.1340687; 2.1438292; 0.1276777; 6.5524524; -4.3217565
7.5912076; -45.9900898; 23.0235607; 2.1705661; 0.1400257; 6.4193403; -4.0383793
7.7909763; -46.1533443; 22.9084403; 2.1998121; 0.1527979; 6.2924119; -3.7702961
7.9907449; -46.3130077; 22.7883912; 2.2316312; 0.1657913; 6.1715536; -3.5142735
8.1905135; -46.4686064; 22.6631210; 2.2660697; 0.1790307; 6.0567310; -3.2614638
8.3902821; -46.6196237; 22.5323666; 2.3031958; 0.1926876; 5.9481858; -3.0175319
8.5900508; -46.7654954; 22.3958982; 2.3430708; 0.2065441; 5.8459642; -2.8190649
8.7898194; -46.9056167; 22.2535353; 2.3856183; 0.2195124; 5.7488239; -2.5632206
8.9895880; -47.0393531; 22.1051611; 2.4309459; 0.2344497; 5.6590524; -2.2247493
9.1893566; -47.1659822; 21.9506802; 2.4795417; 0.2519498; 5.5799645; -1.9701981
9.3891252; -47.2846911; 21.7900359; 2.5313506; 0.2668143; 5.5089778; -1.7346357
9.5888939; -47.3946732; 21.6233022; 2.5860872; 0.2809408; 5.4457125; -1.6060344
9.7886625; -47.4951531; 21.4506778; 2.6431511; 0.2915371; 5.3864751; -0.8620171
9.9884311; -47.5853164; 21.2724509; 2.7043140; 0.3209639; 5.3544100; -0.0638999
10.1881997; -47.6638643; 21.0888138; 2.7715232; 0.3491111; 5.3520254; -0.0638999
10.3879684; -47.7296567; 20.9002259; 2.8398824; 0.3350351; 5.3496398; 0.3479069
10.5877370; -47.7827482; 20.7076757; 2.9044360; 0.3119744; 5.3626157; 0.9641974
10.7875056; -47.8237007; 20.5121800; 2.9652717; 0.2971721; 5.3984146; 1.2745364
10.9872742; -47.8529914; 20.3145965; 3.0230453; 0.2815435; 5.4453746; 1.5854947
11.1870428; -47.8711151; 20.1156756; 3.0779975; 0.2687468; 5.5032326; 1.7932892
11.3868115; -47.8785438; 19.9160672; 3.1303466; 0.2554630; 5.5679489; 2.0109629
11.5865801; -47.8757801; 19.7163374; -3.1031002; 0.2426290; 5.6396374; 2.2121101
11.7863487; -47.8633433; 19.5169744; -3.0559023; 0.2299883; 5.7174583; 2.4089124
11.9861173; -47.8417629; 19.3183912; -3.0111994; 0.2176489; 5.8010154; 2.6006562
12.1858860; -47.8115711; 19.1209322; -2.9689358; 0.2055465; 5.8898930; 2.7920299
12.3856546; -47.7732985; 18.9248776; -2.9290670; 0.1936618; 5.9838415; 2.9857996
12.5854232; -47.7274712; 18.7304486; -2.8915543; 0.1819461; 6.0827048; 3.1855843
12.7851918; -47.6746083; 18.5378118; -2.8563675; 0.1703664; 6.1864414; 3.3943500
12.9849604; -47.6152207; 18.3470840; -2.8234832; 0.1588823; 6.2950954; 3.6153712
13.1847291; -47.5498098; 18.1583357; -2.7928846; 0.1474779; 6.4087987; 3.8510582
13.3844977; -47.4788671; 17.9715952; -2.7645593; 0.1361138; 6.5277364; 4.1049483
13.5842663; -47.4028727; 17.7868517; -2.7384966; 0.1248241; 6.6521743; 4.3776394
13.7840349; -47.3222953; 17.6040596; -2.7146851; 0.1135714; 6.7823633; 4.6730443
13.9838036; -47.2375919; 17.4231418; -2.6931260; 0.1022686; 6.9186348; 4.9978747
14.1835722; -47.1492058; 17.2439933; -2.6737557; 0.0916822; 7.0614690; 5.1887619
14.3833408; -47.0575510; 17.0664942; -2.6564561; 0.0815261; 7.2067641; 5.1841372
14.5831094; -46.9630172; 16.8905111; -2.6411780; 0.0714322; 7.3490614; 5.1795166
14.7828780; -46.8659810; 16.7158947; -2.6279048; 0.0614586; 7.4885322; 5.1749001
14.9826467; -46.7668075; 16.5424827; -2.6166140; 0.0515822; 7.6253314; 5.1702877
15.1824153; -46.6658518; 16.3701017; -2.6072881; 0.0417880; 7.7596006; 5.1656795
15.3821839; -46.5634600; 16.1985695; -2.5999098; 0.0320826; 7.8914690; 4.3167863
15.5819525; -46.4599705; 16.0276971; -2.5944630; 0.0224502; 8.0000000; 0.0000000
15.7817212; -46.3557151; 15.8572905; -2.5909341; 0.0128814; 8.0000000; 0.0000000
15.9814898; -46.2510209; 15.6871532; -2.5893027; 0.0034559; 8.0000000; 0.0000000
16.1812584; -46.1462094; 15.5170880; -2.5895600; -0.0060388; 8.0000000; 0.0000000
16.3810270; -46.0416030; 15.3468965; -2.5917111; -0.0154991; 8.0000000; 0.0000000
16.5807956; -45.9375239; 15.1763822; -2.5957502; -0.0249423; 8.0000000; 0.0000000
16.7805643; -45.8342960; 15.0053515; -2.6016788; -0.0344207; 8.0000000; -1.9854258
16.9803329; -45.7322467; 14.8336153; -2.6095044; -0.0439335; 7.9502672; -6.8997125
17.1801015; -45.6317090; 14.6609902; -2.6192371; -0.0535176; 7.7749634; -6.4726561
17.3798701; -45.5330231; 14.4873004; -2.6308930; -0.0631900; 7.6068383; -6.0933366
17.5796388; -45.4365368; 14.3123797; -2.6444669; -0.0727107; 7.4450973; -5.7603439
17.7794074; -45.3426003; 14.1360771; -2.6599224; -0.0820316; 7.2888958; -5.4761344
17.9791760; -45.2515639; 13.9582607; -2.6772094; -0.0910384; 7.1372321; -5.1872179
